_id,Rainfall_mm,Year,Month_String,Month
485,9.43239,1941,May,5
486,8.50974,1941,June,6
487,45.81,1941,July,7
488,21.0318,1941,August,8
489,20.3119,1941,September,9
490,2.53545,1941,October,10
491,3.01371,1941,November,11
492,15.7911,1941,December,12
493,55.169,1942,January,1
494,53.9409,1942,February,2
495,19.6547,1942,March,3
496,19.7194,1942,April,4
497,38.4209,1942,May,5
498,31.0639,1942,June,6
499,101.84,1942,July,7
500,37.0677,1942,August,8
501,22.0441,1942,September,9
502,5.03011,1942,October,10
503,4.25811,1942,November,11
504,26.4945,1942,December,12
505,58.2901,1943,January,1
506,5.57775,1943,February,2
507,26.7344,1943,March,3
508,34.1384,1943,April,4
509,23.3824,1943,May,5
510,10.1402,1943,June,6
511,46.4736,1943,July,7
512,29.4262,1943,August,8
513,15.7967,1943,September,9
514,3.90013,1943,October,10
515,2.2677,1943,November,11
516,3.62004,1943,December,12
517,48.1277,1944,January,1
518,64.9179,1944,February,2
519,38.2779,1944,March,3
520,31.2336,1944,April,4
521,8.14759,1944,May,5
522,9.37007,1944,June,6
523,98.6377,1944,July,7
524,136.962,1944,August,8
525,15.0417,1944,September,9
526,5.54882,1944,October,10
527,8.30947,1944,November,11
528,29.7959,1944,December,12
529,38.8791,1945,January,1
530,11.7038,1945,February,2
531,24.6168,1945,March,3
532,34.16,1945,April,4
533,12.045,1945,May,5
534,25.523,1945,June,6
535,106.458,1945,July,7
536,38.081,1945,August,8
537,24.0178,1945,September,9
538,5.61034,1945,October,10
539,4.99154,1945,November,11
540,12.0397,1945,December,12
541,14.8902,1946,January,1
542,26.0587,1946,February,2
543,13.9942,1946,March,3
544,5.6812,1946,April,4
545,5.64115,1946,May,5
546,12.3442,1946,June,6
547,26.171,1946,July,7
548,77.1827,1946,August,8
549,4.63755,1946,September,9
550,8.7803,1946,October,10
551,5.09657,1946,November,11
552,11.3736,1946,December,12
553,31.4211,1947,January,1
554,30.8748,1947,February,2
555,19.6091,1947,March,3
556,3.89161,1947,April,4
557,17.1172,1947,May,5
558,8.28901,1947,June,6
559,22.0234,1947,July,7
560,46.1195,1947,August,8
561,21.2747,1947,September,9
562,4.27195,1947,October,10
563,5.62064,1947,November,11
564,15.2268,1947,December,12
565,11.4407,1948,January,1
566,42.7869,1948,February,2
567,48.0123,1948,March,3
568,25.1017,1948,April,4
569,9.07401,1948,May,5
570,18.8198,1948,June,6
571,79.8786,1948,July,7
572,44.5498,1948,August,8
573,11.1338,1948,September,9
574,2.6953,1948,October,10
575,3.45944,1948,November,11
576,24.9507,1948,December,12
577,14.5772,1949,January,1
578,20.9185,1949,February,2
579,36.7155,1949,March,3
580,11.7593,1949,April,4
581,8.48725,1949,May,5
582,18.1381,1949,June,6
583,51.3335,1949,July,7
584,57.3926,1949,August,8
585,17.4278,1949,September,9
586,2.99065,1949,October,10
587,2.05416,1949,November,11
588,6.46054,1949,December,12
589,60.4773,1950,January,1
590,22.0462,1950,February,2
591,31.9527,1950,March,3
592,26.4562,1950,April,4
593,13.0833,1950,May,5
594,7.0361,1950,June,6
595,62.3368,1950,July,7
596,49.0711,1950,August,8
597,29.9903,1950,September,9
598,2.67137,1950,October,10
599,3.13984,1950,November,11
600,0.80213,1950,December,12
601,17.9641,1951,January,1
602,26.1026,1951,February,2
603,44.9662,1951,March,3
604,24.8592,1951,April,4
605,25.6118,1951,May,5
606,10.9358,1951,June,6
607,23.8066,1951,July,7
608,46.0951,1951,August,8
609,4.32737,1951,September,9
610,6.10609,1951,October,10
611,9.85755,1951,November,11
612,5.62371,1951,December,12
613,21.8835,1952,January,1
614,28.4677,1952,February,2
615,24.2076,1952,March,3
616,14.6128,1952,April,4
617,7.56766,1952,May,5
618,12.9089,1952,June,6
619,54.0252,1952,July,7
620,25.8742,1952,August,8
621,6.00208,1952,September,9
622,1.33603,1952,October,10
623,1.9862,1952,November,11
624,16.6618,1952,December,12
625,25.7333,1953,January,1
626,24.2772,1953,February,2
627,20.904,1953,March,3
628,20.1409,1953,April,4
629,15.874,1953,May,5
630,22.1359,1953,June,6
631,47.3657,1953,July,7
632,77.7919,1953,August,8
633,21.0016,1953,September,9
634,10.7566,1953,October,10
635,4.32299,1953,November,11
636,13.8055,1953,December,12
637,48.7824,1954,January,1
638,65.4074,1954,February,2
639,22.7319,1954,March,3
640,18.5023,1954,April,4
641,10.2821,1954,May,5
642,10.5167,1954,June,6
643,30.5518,1954,July,7
644,21.8322,1954,August,8
645,44.9608,1954,September,9
646,8.41373,1954,October,10
647,4.24445,1954,November,11
648,3.28068,1954,December,12
649,28.8648,1955,January,1
650,8.44112,1955,February,2
651,47.2041,1955,March,3
652,8.48304,1955,April,4
653,27.4975,1955,May,5
654,7.20499,1955,June,6
655,27.3777,1955,July,7
656,80.6127,1955,August,8
657,36.0226,1955,September,9
658,7.40846,1955,October,10
659,1.07598,1955,November,11
660,16.6018,1955,December,12
661,35.4311,1956,January,1
662,19.7688,1956,February,2
663,58.4752,1956,March,3
664,34.3327,1956,April,4
665,1.72454,1956,May,5
666,35.6324,1956,June,6
667,125.533,1956,July,7
668,74.6565,1956,August,8
669,11.0303,1956,September,9
670,20.6457,1956,October,10
671,1.66882,1956,November,11
672,13.0949,1956,December,12
673,62.0862,1957,January,1
674,14.6322,1957,February,2
675,36.6081,1957,March,3
676,51.9199,1957,April,4
677,25.8923,1957,May,5
678,17.1486,1957,June,6
679,25.4085,1957,July,7
680,43.4475,1957,August,8
681,7.64757,1957,September,9
682,15.6489,1957,October,10
683,24.461,1957,November,11
684,32.3778,1957,December,12
685,25.5363,1958,January,1
686,9.44109,1958,February,2
687,16.1792,1958,March,3
688,14.091,1958,April,4
689,12.7986,1958,May,5
690,10.9512,1958,June,6
691,56.858,1958,July,7
692,22.5712,1958,August,8
693,31.8638,1958,September,9
694,3.9729,1958,October,10
695,7.80382,1958,November,11
696,54.5402,1958,December,12
697,38.2175,1959,January,1
698,36.426,1959,February,2
699,25.3104,1959,March,3
700,24.9713,1959,April,4
701,32.536,1959,May,5
702,6.17998,1959,June,6
703,109.908,1959,July,7
704,45.5721,1959,August,8
705,32.8209,1959,September,9
706,8.68935,1959,October,10
707,26.1542,1959,November,11
708,17.4243,1959,December,12
709,12.8881,1960,January,1
710,15.5501,1960,February,2
711,48.0119,1960,March,3
712,31.719,1960,April,4
713,13.5125,1960,May,5
714,8.61772,1960,June,6
715,61.681,1960,July,7
716,35.7771,1960,August,8
717,16.0049,1960,September,9
718,1.14299,1960,October,10
719,4.96186,1960,November,11
720,25.758,1960,December,12
721,33.4807,1961,January,1
722,30.3129,1961,February,2
723,15.4388,1961,March,3
724,39.9794,1961,April,4
725,13.8821,1961,May,5
726,23.489,1961,June,6
727,89.9002,1961,July,7
728,46.2971,1961,August,8
729,36.5446,1961,September,9
730,10.0553,1961,October,10
731,9.28469,1961,November,11
732,11.5446,1961,December,12
733,6.7844,1962,January,1
734,18.7275,1962,February,2
735,26.4647,1962,March,3
736,23.2086,1962,April,4
737,15.4038,1962,May,5
738,10.9828,1962,June,6
739,42.9007,1962,July,7
740,46.8747,1962,August,8
741,39.7279,1962,September,9
742,4.00006,1962,October,10
743,10.1943,1962,November,11
744,22.3324,1962,December,12
745,0.99773,1963,January,1
746,16.2037,1963,February,2
747,41.6322,1963,March,3
748,34.1661,1963,April,4
749,35.0543,1963,May,5
750,5.55861,1963,June,6
751,20.415,1963,July,7
752,27.7805,1963,August,8
753,12.5937,1963,September,9
754,3.932,1963,October,10
755,15.3882,1963,November,11
756,12.4367,1963,December,12
757,37.9169,1964,January,1
758,20.617,1964,February,2
759,20.0103,1964,March,3
760,23.3933,1964,April,4
761,10.9025,1964,May,5
762,18.5588,1964,June,6
763,80.9339,1964,July,7
764,56.2686,1964,August,8
765,16.0849,1964,September,9
766,2.10298,1964,October,10
767,1.39828,1964,November,11
768,13.8485,1964,December,12
769,26.2428,1965,January,1
770,24.945,1965,February,2
771,22.0791,1965,March,3
772,59.2074,1965,April,4
773,26.2274,1965,May,5
774,5.02491,1965,June,6
775,64.3407,1965,July,7
776,31.0305,1965,August,8
777,5.04816,1965,September,9
778,8.17512,1965,October,10
779,10.6557,1965,November,11
780,10.4383,1965,December,12
781,1.15251,1966,January,1
782,45.5543,1966,February,2
783,40.4243,1966,March,3
784,33.1559,1966,April,4
785,13.2614,1966,May,5
786,14.1281,1966,June,6
787,45.8264,1966,July,7
788,34.1948,1966,August,8
789,22.35,1966,September,9
790,17.0328,1966,October,10
791,0.5548,1966,November,11
792,2.9438,1966,December,12
793,4.27492,1967,January,1
794,30.2195,1967,February,2
795,62.6848,1967,March,3
796,24.4783,1967,April,4
797,23.5003,1967,May,5
798,8.45779,1967,June,6
799,62.1139,1967,July,7
800,71.5948,1967,August,8
801,17.6735,1967,September,9
802,11.9856,1967,October,10
803,6.90142,1967,November,11
804,49.9924,1967,December,12
805,26.3102,1968,January,1
806,29.1857,1968,February,2
807,21.337,1968,March,3
808,17.1485,1968,April,4
809,20.1009,1968,May,5
810,7.3359,1968,June,6
811,28.9279,1968,July,7
812,35.353,1968,August,8
813,1.11097,1968,September,9
814,8.97746,1968,October,10
815,6.29921,1968,November,11
816,13.9851,1968,December,12
817,14.0873,1969,January,1
818,24.9438,1969,February,2
819,20.4253,1969,March,3
820,31.7132,1969,April,4
821,19.819,1969,May,5
822,9.63631,1969,June,6
823,54.8043,1969,July,7
824,19.5314,1969,August,8
825,12.1516,1969,September,9
826,13.014,1969,October,10
827,3.01573,1969,November,11
828,1.45074,1969,December,12
829,30.5653,1970,January,1
830,27.1291,1970,February,2
831,33.5164,1970,March,3
832,15.5043,1970,April,4
833,8.93951,1970,May,5
834,16.5579,1970,June,6
835,46.0735,1970,July,7
836,77.46,1970,August,8
837,40.3373,1970,September,9
838,8.65626,1970,October,10
839,0.47082,1970,November,11
840,4.07001,1970,December,12
841,7.24127,1971,January,1
842,21.513,1971,February,2
843,10.804,1971,March,3
844,16.0094,1971,April,4
845,11.8274,1971,May,5
846,21.4284,1971,June,6
847,44.4069,1971,July,7
848,40.7991,1971,August,8
849,20.2732,1971,September,9
850,1.70755,1971,October,10
851,2.06759,1971,November,11
852,6.26838,1971,December,12
853,34.7957,1972,January,1
854,19.8263,1972,February,2
855,38.6696,1972,March,3
856,22.1973,1972,April,4
857,21.5096,1972,May,5
858,22.1459,1972,June,6
859,35.143,1972,July,7
860,29.401,1972,August,8
861,16.0654,1972,September,9
862,5.55106,1972,October,10
863,6.4597,1972,November,11
864,23.3174,1972,December,12
865,28.3193,1973,January,1
866,22.0498,1973,February,2
867,35.0366,1973,March,3
868,18.082,1973,April,4
869,20.5587,1973,May,5
870,6.31663,1973,June,6
871,83.0911,1973,July,7
872,67.0669,1973,August,8
873,19.8524,1973,September,9
874,3.33128,1973,October,10
875,0.56221,1973,November,11
876,13.3079,1973,December,12
877,20.4081,1974,January,1
878,34.12,1974,February,2
879,12.4535,1974,March,3
880,15.064,1974,April,4
881,15.8986,1974,May,5
882,20.848,1974,June,6
883,41.7686,1974,July,7
884,23.2534,1974,August,8
885,11.2464,1974,September,9
886,1.70523,1974,October,10
887,0.89974,1974,November,11
888,15.6551,1974,December,12
889,26.8503,1975,January,1
890,28.4211,1975,February,2
891,31.389,1975,March,3
892,22.3481,1975,April,4
893,18.8292,1975,May,5
894,26.2635,1975,June,6
895,63.3042,1975,July,7
896,96.6574,1975,August,8
897,37.3772,1975,September,9
898,4.14299,1975,October,10
899,2.73393,1975,November,11
900,7.69655,1975,December,12
901,26.6401,1976,January,1
902,48.1633,1976,February,2
903,51.7926,1976,March,3
904,22.9631,1976,April,4
905,8.51641,1976,May,5
906,21.235,1976,June,6
907,68.3295,1976,July,7
908,97.656,1976,August,8
909,45.7423,1976,September,9
910,8.08338,1976,October,10
911,1.36519,1976,November,11
912,3.35015,1976,December,12
913,44.242,1977,January,1
914,3.8353,1977,February,2
915,5.09658,1977,March,3
916,27.2329,1977,April,4
917,15.1775,1977,May,5
918,31.0969,1977,June,6
919,74.8961,1977,July,7
920,35.1519,1977,August,8
921,28.696,1977,September,9
922,8.94343,1977,October,10
923,9.8938,1977,November,11
924,10.9998,1977,December,12
925,19.7925,1978,January,1
926,16.6293,1978,February,2
927,46.6385,1978,March,3
928,16.4415,1978,April,4
929,8.48169,1978,May,5
930,21.2366,1978,June,6
931,148.121,1978,July,7
932,59.1608,1978,August,8
933,14.4293,1978,September,9
934,1.69246,1978,October,10
935,17.3604,1978,November,11
936,3.57629,1978,December,12
937,29.7768,1979,January,1
938,43.3052,1979,February,2
939,47.1193,1979,March,3
940,28.4061,1979,April,4
941,20.4325,1979,May,5
942,12.1849,1979,June,6
943,25.5854,1979,July,7
944,66.4542,1979,August,8
945,16.4189,1979,September,9
946,4.78184,1979,October,10
947,11.4957,1979,November,11
948,22.4665,1979,December,12
949,19.0035,1980,January,1
950,29.9826,1980,February,2
951,43.5235,1980,March,3
952,9.2615,1980,April,4
953,12.7197,1980,May,5
954,30.0792,1980,June,6
955,62.1531,1980,July,7
956,34.2454,1980,August,8
957,19.0816,1980,September,9
958,12.7277,1980,October,10
959,10.2885,1980,November,11
960,15.6931,1980,December,12
961,30.6463,1981,January,1
962,32.1889,1981,February,2
963,66.5952,1981,March,3
964,27.3013,1981,April,4
965,17.4683,1981,May,5
966,8.78363,1981,June,6
967,84.8033,1981,July,7
968,38.2932,1981,August,8
969,5.45379,1981,September,9
970,9.53868,1981,October,10
971,7.23586,1981,November,11
972,3.2328,1981,December,12
973,26.7045,1982,January,1
974,43.8462,1982,February,2
975,69.4212,1982,March,3
976,26.6146,1982,April,4
977,28.7386,1982,May,5
978,5.91588,1982,June,6
979,29.9389,1982,July,7
980,58.7005,1982,August,8
981,5.01978,1982,September,9
982,20.175,1982,October,10
983,24.0141,1982,November,11
984,27.1344,1982,December,12
985,19.3975,1983,January,1
986,27.558,1983,February,2
987,40.6978,1983,March,3
988,56.5685,1983,April,4
